movie,score
肖申克的救赎,9.6
霸王别姬,9.6
这个杀手不太冷,9.4
阿甘正传,9.4
美丽人生,9.5
泰坦尼克号,9.3
千与千寻,9.3
辛德勒的名单,9.5
盗梦空间,9.3
机器人总动员,9.3
忠犬八公的故事,9.3
三傻大闹宝莱坞,9.2
海上钢琴师,9.2
放牛班的春天,9.2
大话西游之大圣娶亲,9.2
楚门的世界,9.2
教父,9.2
龙猫,9.1
星际穿越,9.2
熔炉,9.2
无间道,9.1
触不可及,9.2
当幸福来敲门,9.0
乱世佳人,9.2
怦然心动,9.0
疯狂动物城,9.1
天堂电影院,9.1
蝙蝠侠：黑暗骑士,9.1
活着,9.1
十二怒汉,9.4
少年派的奇幻漂流,9.0
鬼子来了,9.2
指环王3：王者无敌,9.1
搏击俱乐部,9.0
天空之城,9.0
控方证人,9.6
飞屋环游记,8.9
大话西游之月光宝盒,8.9
罗马假日,9.0
窃听风暴,9.1
摔跤吧！爸爸,9.1
两杆大烟枪,9.1
辩护人,9.2
闻香识女人,9.0
飞越疯人院,9.0
哈尔的移动城堡,8.9
死亡诗社,9.0
V字仇杀队,8.8
海豚湾,9.3
教父2,9.1
指环王2：双塔奇兵,9.0
指环王1：魔戒再现,8.9
美丽心灵,8.9
饮食男女,9.1
情书,8.8
素媛,9.1
狮子王,8.9
美国往事,9.1
钢琴家,9.1
小鞋子,9.2
七宗罪,8.8
被嫌弃的松子的一生,8.9
致命魔术,8.8
天使爱美丽,8.7
本杰明·巴顿奇事,8.8
西西里的美丽传说,8.8
黑客帝国,8.9
让子弹飞,8.7
拯救大兵瑞恩,8.9
音乐之声,8.9
看不见的客人,8.7
末代皇帝,9.0
低俗小说,8.8
勇敢的心,8.8
剪刀手爱德华,8.7
沉默的羔羊,8.8
大闹天宫,9.3
蝴蝶效应,8.7
春光乍泄,8.8
入殓师,8.8
心灵捕手,8.8
哈利·波特与魔法石,8.8
玛丽和马克思,8.9
布达佩斯大饭店,8.8
阳光灿烂的日子,8.8
禁闭岛,8.7
猫鼠游戏,8.8
幽灵公主,8.8
第六感,8.8
重庆森林,8.7
狩猎,9.1
致命ID,8.7
断背山,8.7
穿条纹睡衣的男孩,8.9
大鱼,8.7
加勒比海盗,8.6
阿凡达,8.6
告白,8.7
摩登时代,9.2
一一,9.0
甜蜜蜜,8.8
射雕英雄传之东成西就,8.7
阳光姐妹淘,8.8
消失的爱人,8.7
爱在黎明破晓前,8.7
上帝之城,8.9
侧耳倾听,8.8
爱在日落黄昏时,8.8
风之谷,8.8
超脱,8.8
小森林 夏秋篇,8.9
喜剧之王,8.6
倩女幽魂,8.6
恐怖直播,8.7
红辣椒,8.9
